,paper,Tool,Bugs,Bugs fixed,correct patches,incorrect patches,sufficient median 0.8,sufficient median 0.9,sufficient median 1.0,sufficient max 0.8,sufficient max 0.9,sufficient max 1.0,ignored unknown patches
0,submission,Avatar,21,15,16,107,1,1,1,6,7,7,0
1,submission,FixMiner,12,10,13,14,1,1,1,5,5,5,0
9,submission,Nopol,11,0,0,37,0,0,0,0,0,0,0
2,submission,SimFix,21,19,27,17,1,1,1,3,3,3,0
3,submission,TBar,38,32,42,136,1,1,1,23,28,40,0
4,submission,dynamoth,7,2,7,47,2,2,4,3,3,6,0
5,submission,jGenProg,12,3,3,58,2,2,2,4,4,4,0
6,submission,jKali,5,2,3,27,4,5,6,5,6,6,0
7,submission,jMutRepair,10,4,5,12,2,2,2,3,3,3,0
8,submission,kPAR,9,5,13,87,3,3,3,7,10,37,0
